;Frage:,;A.,;B.,;C.,;D.,;antwort,;Gewichtung:
;Wurden alle Bierflaschen ausgetrunken kann man aus dem Kasten nur noch…,;Erkenntnisse gewinnen,;Zur Einsicht gelangen,;Eine leere ziehen,;Erfahrungen sammeln,;c,;50
;Womit sind auch Frauen ausgestattet die die Ruhe weg haben?,;Flitzschleim,;Hastpopel,;Sausrotz,;Eileiter,;d,;100
;Direkt unter den sichtbaren Heizstaeben im Backofen befinden sich sozusagen die?,;Wessen Zoepfe werden in der Regel von zwei schwarzen Schleifen zusammengehalten?,;Ardischogge,;Abriekohse,;Oberschiene,;d,;200
;Vielen reichen im Resturant zwei Burger aber manche machen erst…,;Zett dee eff,;Foe nix,;Drei satt,;Ar tte,;c,;300
;Was laesst sich mit gezielten Uebungen wegtrainieren?,;Schuettelhaende,;Winkearme,;Schwenkebeine,;Wedelfuesse,;b,;500
;Bei welchen Fischen muss man nur zwei Buchstaben vertauschen um die Bewohner eines Staates in Süd Osteuropa daraus zu machen?,;Muraenen,;Barrakudas,;Piranhas,;Rochen,;a,;1.000
;Wobei geht der Trend vermehrt zu Modellen ohne Spuelrand?,;Waschmaschinen,;Teller und Tassen,;Elektrische Zahnbuerste,;Toilettenschuessel,;d,;2.000
;Auf Basis von rund 5.400 Haushalten werden wir morgen wissen wie viele Leute,;Krank geschrieben sind,;Im Stau standen,;WWM im Fernsehen schauen,;Fremdgegangen sind,;c,;4.000
;I give you all a boy could give you. Take my tears and that‘s not nearly all ...?,;tainted love,;endless love,;faded love,;crazy little thing called love,;a,;8.000
;Welcher vielfach beschworene Trick gegen nervige Wespen auf der Terrasse bringt Experten zufolge überhaupt nichts?,;Waeschestaender-Trick,;Eierschneider-Trick,;Papiertueten-Trick,;Babywindel-Trick,;c,;16.000
;Wessen Zoepfe werden in der Regel von zwei schwarzen Schleifen zusammengehalten?,;Pippi Langstrumpf,;Obelix,;Bibi Blocksberg,;Greta Thunberg,;b,;32.000
;Glaubt man einer in Boersenkreisen beliebten Faustregel entspricht der Wert einer Feinunze Gold traditionell ungefähr dem Preis fuer ...?,;ein Drei-Gaenge-Menue.,;einen Massanzug.,;einen Sportwagen.,;ein Einfamlienhaus.,;b,;64.000
;Wovon gibt es in Deutschland am meisten?,;Grundschulen,;Kinosaele,;Eiscafes,;Fitnessstudios,;a,;125.000
;Wie heisst die Hauptstadt von Tunesien?,;Rabat,;Kairo,;Tunis,;Algier,;d,;500.000
;Der Geburtstag welcher Person wird in ihrem Heimatland immer am 3. Montag im Januar mit einem eigenen Feiertag begangen?,;Evita Peron,;Mutter Teresa,;Nelson Mandela,;Martin Luther King,;b,;1.000.000
